id,time,temp,rh,prec,wd,ws,Visibility_km,Weather
QUEBEC INTL A,2023-05-13 21:00,12,51,0,30,1,24.1,NA
QUEBEC INTL A,2023-05-13 22:00,10,57,0,30,2,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-13 23:00,9,64,0,30,2,24.1,NA
QUEBEC INTL A,2023-05-14 00:00,7.6,49,0,29,11,24.1,NA
QUEBEC INTL A,2023-05-14 01:00,7.1,52,0,29,8,24.1,Mostly Cloudy
QUEBEC INTL A,2023-05-14 02:00,6.4,56,0,27,8,24.1,NA
QUEBEC INTL A,2023-05-14 03:00,6.1,58,0,28,10,24.1,NA
QUEBEC INTL A,2023-05-14 04:00,6.1,59,0,33,13,48.3,Mainly Clear
QUEBEC INTL A,2023-05-14 05:00,6.1,57,0,29,9,48.3,NA
QUEBEC INTL A,2023-05-14 06:00,7.4,51,0,32,13,48.3,NA
QUEBEC INTL A,2023-05-14 07:00,8.1,47,0,33,17,48.3,Mainly Clear
QUEBEC INTL A,2023-05-14 08:00,9,42,0,33,21,48.3,NA
QUEBEC INTL A,2023-05-14 09:00,11,36,0,35,16,48.3,NA
QUEBEC INTL A,2023-05-14 10:00,12,28,0,30,15,48.3,Clear
QUEBEC INTL A,2023-05-14 11:00,14.2,26,0,30,13,48.3,NA
QUEBEC INTL A,2023-05-14 12:00,14.7,22,0,32,18,48.3,NA
