id,time,temp,rh,prec,wd,ws
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 18:00:00,19.3,16,0,298,22.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 19:00:00,15.7,20,0,296,17.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 20:00:00,14.2,28,0,241,7.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 21:00:00,13,41,0,244,7.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 22:00:00,9.5,47,0,265,6.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-16 23:00:00,9.5,47,0,265,6.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 00:00:00,7.6,69,0,298,4.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 01:00:00,6.35,69,0,309,5.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 02:00:00,5.1,82,0,124,2.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 03:00:00,4.5,88,0,143.5,2.95
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 04:00:00,3.6,94,0,163,3.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 05:00:00,3.3,96,0,231,3.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 06:00:00,7.1,100,0,175,1.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 07:00:00,12.1,100,0,274,2.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 08:00:00,14.5,87,0,300,6.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 09:00:00,17.3,67,0,191,3.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 10:00:00,20.8,57,0,308,4.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 11:00:00,24.3,48,0,304,5.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 12:00:00,26.1,40,0,289,4.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 13:00:00,27.8,32,0,88,6.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 14:00:00,27.9,28,0,110,7
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 15:00:00,28.2,27,0,242,7
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 16:00:00,23.7,27,0,239,10.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 17:00:00,21.6,25,0,253,6.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 18:00:00,17.7,35,0,254,9.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 19:00:00,13.9,46,0,259,6
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 20:00:00,12,62,0,123,3
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 21:00:00,10.6,71,0,164,3.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 22:00:00,9.9,82,0,320,2.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-17 23:00:00,9,84,0,245,2.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 00:00:00,8.1,85,0,278,5.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 01:00:00,9.1,84,0,223,3
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 02:00:00,9.9,91,0,278,4.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 03:00:00,6.6,84,0,309,4.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 04:00:00,5.8,90,0,295.5,4.35
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 05:00:00,5,96,0,282,3.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 06:00:00,8.8,97,0,271,3.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 07:00:00,13.2,90,0,192,3.95
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 08:00:00,16.5,83,0,113,4.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 09:00:00,20.5,65,0,307,7.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 10:00:00,23.7,52,0,275,9.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 11:00:00,25.7,42,0,251,10.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 12:00:00,23.9,36,0,252,10.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 13:00:00,25,32,0,281,11
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 14:00:00,24.1,35,0,304,6.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 15:00:00,23.3,33.5,0,320.5,6.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 16:00:00,24.4,32,0,337,5.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 17:00:00,20.1,35,0,262,4.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 18:00:00,14.4,31,0,290,10.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 19:00:00,12,42,0,252,5.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 20:00:00,10.7,62,0,296,2.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 21:00:00,9.3,69,0,215,4.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 22:00:00,7.9,76,0,279,2.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-18 23:00:00,6.9,81,0,177,3.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 00:00:00,5.9,90,0,165,3.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 01:00:00,5.35,92,0,230,2.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 02:00:00,4.8,96,0,187,2.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 03:00:00,3.9,96.5,0,256,2.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 04:00:00,3.4,97,0,325,3.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 05:00:00,3,100,0,198,2.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 06:00:00,6.4,100,0,212,2.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 07:00:00,10.9,100,0,169,2.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 08:00:00,13.6,100,0,309,4.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 09:00:00,16.4,75,0,298,7.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 10:00:00,19.5,64,0,321,5.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 11:00:00,22.8,54,0,283,5
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 12:00:00,24.6,44,0,309,6.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 13:00:00,24.3,37,0,358,5.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 14:00:00,23.7,33,0,324,10.95
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 15:00:00,25.1,29,0,290,16.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 16:00:00,23.9,30,0,285,11.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 17:00:00,18.6,26,0,275,10.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 18:00:00,15.9,28,0,285,8.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 19:00:00,16.5,40,0,258,5.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 20:00:00,14.4,49,0,294,6.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-19 21:00:00,11.8,46,0,265,5.1
