"","ID","TIME","TEMP","RH","PREC","WD","WS","FUELTYPE","LAT","LONG","TZ_LOC","MON","DAY","HR","YR","PERCENT_CURED","MINUTE","DATE","TIMESTAMP","TIMEZONE","SOLRAD","SUNRISE","SUNSET","SUNLIGHT_HOURS"
"42","FLNRO-WMB 394 ROCK CREEK",2024-09-11 17:00:00,17.1,73,0,254,6.4,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,17,2024,100,0,2024-09-11,2024-09-11 17:00:00,-8,0.116400318590162,5.41843991990309,18.3406717198098,12.9222317999067
"43","FLNRO-WMB 394 ROCK CREEK",2024-09-11 18:00:00,15.3,72,0,287,7.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,18,2024,100,0,2024-09-11,2024-09-11 18:00:00,-8,0.0237635303796386,5.41843991990309,18.3406717198098,12.9222317999067
"44","FLNRO-WMB 394 ROCK CREEK",2024-09-11 19:00:00,14.8,71,0,267,4.3,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,19,2024,100,0,2024-09-11,2024-09-11 19:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"45","FLNRO-WMB 394 ROCK CREEK",2024-09-11 20:00:00,14.3,78,0,234,6.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,20,2024,100,0,2024-09-11,2024-09-11 20:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"46","FLNRO-WMB 394 ROCK CREEK",2024-09-11 21:00:00,14.3,82,0,259,5.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,21,2024,100,0,2024-09-11,2024-09-11 21:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"47","FLNRO-WMB 394 ROCK CREEK",2024-09-11 22:00:00,14.6,83,0,264,5.7,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,22,2024,100,0,2024-09-11,2024-09-11 22:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"48","FLNRO-WMB 394 ROCK CREEK",2024-09-11 23:00:00,14.65,83,0,265,6.2,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,11,23,2024,100,0,2024-09-11,2024-09-11 23:00:00,-8,3.34401191661753e-17,5.41843991990309,18.3406717198098,12.9222317999067
"49","FLNRO-WMB 394 ROCK CREEK",2024-09-12,14.7,79,0,269,6.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,12,0,2024,100,0,2024-09-12,2024-09-12,-8,4.99173146210038e-17,5.44184731095658,18.3048884150315,12.8630411040749
"50","FLNRO-WMB 394 ROCK CREEK",2024-09-12 01:00:00,12.7,71,0,241,8.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,12,1,2024,100,0,2024-09-12,2024-09-12 01:00:00,-8,4.99173146210038e-17,5.44184731095658,18.3048884150315,12.8630411040749
"51","FLNRO-WMB 394 ROCK CREEK",2024-09-12 02:00:00,12.3,69,0,232,9.7,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,12,2,2024,100,0,2024-09-12,2024-09-12 02:00:00,-8,4.99173146210038e-17,5.44184731095658,18.3048884150315,12.8630411040749
"52","FLNRO-WMB 394 ROCK CREEK",2024-09-12 03:00:00,9.7,79,0,254,6.8,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,12,3,2024,100,0,2024-09-12,2024-09-12 03:00:00,-8,4.99173146210038e-17,5.44184731095658,18.3048884150315,12.8630411040749
"53","FLNRO-WMB 394 ROCK CREEK",2024-09-12 04:00:00,7.3,77,0,239,8.7,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,12,4,2024,100,0,2024-09-12,2024-09-12 04:00:00,-8,4.99173146210038e-17,5.44184731095658,18.3048884150315,12.8630411040749
"54","FLNRO-WMB 394 ROCK CREEK",2024-09-12 05:00:00,6.6,87,0,295,7.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,12,5,2024,100,0,2024-09-12,2024-09-12 05:00:00,-8,4.99173146210038e-17,5.44184731095658,18.3048884150315,12.8630411040749
